Scouter_Initials	Match_Number	Robot	Team_Number	human_player_at_amp	No_Show	auto_amp_Scored	auto_amp_missed	auto_speaker_scored	auto_speaker_missed	Goes_To_Centerline	can_do_ground_pickup	tele_amp_scored	tele_amp_missed	tele_speaker_scored	tele_speaker_missed	Note_in_Trap	Driver_Ability	Only_Scores_Near_Subwoofer	Died	Tipped_Over	Comments
SZ	50	B3	7525	false	false	0	0	4	0	true	true	0	0	8	0	0	3	true	false	false	Shooter broken -> defense bot for this round 
NC	51	R2	5811	true	false	0	0	0	0	0	0	0	0	0	0	0	3	false	false	false	Played defense, pretty good
MDP	50	B1	2603	false	false	0	0	3	0	0	true	1	0	4	1	0	4	false	false	false	undefined
SZ	51	B3	8140	false	false	0	0	0	0	0	0	0	0	0	0	0	3	false	true	false	undefined
AK	51	R3	4145	true	false	0	0	0	0	0	true	0	0	2	3	0	3	false	false	false	undefined
SL	51	B2	4027	false	false	0	0	0	0	0	false	3	0	0	0	0	3	false	true	false	Died @ end
NS	51	R1	5667	false	false	0	0	0	1	0	true	1	0	3	1	0	4	false	false	false	undefined
MDP	51	B1	1708	false	false	0	0	1	0	0	true	3	0	6	1	0	3	false	false	false	They hung
NC	52	R2	1787	true	false	0	0	1	2	true	0	7	0	3	0	0	3	false	true	false	Fed for a bit, died for about 30 sec 
SZ	52	B3	695	false	false	0	0	0	1	true	true	0	0	1	0	0	3	false	false	false	Mostly defense
SL	52	B2	1405	false	false	0	0	0	2	0	true	0	1	0	0	0	1	false	false	false	Super glitchy - prob had a robot issue
AK	52	R3	7515	true	false	0	0	0	0	0	0	4	0	1	0	0	3	false	false	false	undefined
NS	52	R1	8222	false	false	0	0	0	0	0	0	0	0	0	0	0	3	false	false	false	Stayed in one place whole rime
NC	53	R2	6964	false	false	0	0	1	0	0	0	0	0	1	0	0	2	false	false	false	Shooter wasn¡¯t working, played not great defense
SZ	53	B3	7885	false	false	0	0	0	1	0	0	0	0	0	0	0	1	false	false	false	undefined
SL	53	B2	4027	false	false	0	0	2	0	0	true	5	0	1	0	0	3	false	false	false	Talk and janky 
NS	53	R1	9597	false	false	0	0	1	0	0	true	3	1	3	1	0	4	false	false	false	undefined
AK	53	R3	8145	true	false	0	0	1	0	0	0	0	0	2	0	0	3	false	false	false	undefined
MSS	53	B1	4504	false	false	0	0	0	1	0	0	0	0	2	2	0	2	true	false	false	37 seconds to hang but they did. Not good scoring 
MDP	54	B1	7460	false	false	0	0	1	0	0	true	0	0	1	1	0	2	false	false	false	Hung
SZ	54	B3	2399	false	false	0	0	1	0	true	true	0	0	5	1	0	3	true	false	false	undefined
SL	54	B2	3015	false	false	0	0	6	0	true	true	1	0	5	0	0	4	false	false	false	undefined
AK	54	R3	5492	true	false	0	0	0	0	0	0	0	0	0	0	0	3	false	false	false	 Defense 
NS	54	R1	4601	false	false	0	0	0	1	0	true	0	0	1	0	0	3	false	false	false	undefined
NC	54	R2	6181	false	false	0	0	2	1	0	true	1	0	4	2	0	3	true	false	false	undefined
SZ	55	B3	7525	false	false	0	0	3	2	true	0	0	0	9	1	0	5	true	false	false	undefined
AK	55	R3	8718	true	false	0	0	0	0	0	0	0	0	0	1	0	2	false	false	false	Defense
SL	55	B2	9622	false	false	0	0	1	0	0	0	0	0	4	1	0	4	false	false	false	undefined
NS	55	R1	8713	false	false	0	0	0	1	0	0	0	0	4	0	0	3	false	false	false	undefined
NC	55	R2	48	true	false	0	0	1	0	0	true	2	0	0	0	0	3	false	true	false	Died about 30 sec into telop 
NC	56	R2	7165	true	false	0	0	0	0	0	0	1	1	3	4	0	3	true	false	false	undefined
AK	56	R3	4327	true	false	0	0	0	0	0	true	2	0	1	0	0	3	false	false	false	undefined
SL	56	B2	3777	false	false	0	0	0	0	0	0	0	0	0	0	0	1	false	false	false	Defense only
NS	56	R1	9643	false	false	0	0	0	0	0	0	0	1	1	0	0	3	false	false	false	undefined
SZ	56	B3	4121	false	false	0	0	2	1	0	true	0	0	8	0	0	4	true	false	false	undefined
MDP	56	B1	291	false	false	1	1	1	1	0	0	1	2	1	3	0	3	false	false	false	undefined
MDP	57	B1	695	false	false	0	0	1	0	true	true	0	1	6	2	0	3	false	false	false	Hung
NC	57	R2	2252	true	false	0	0	2	1	true	true	5	1	5	1	0	4	false	false	false	undefined
NS	57	R1	9767	false	false	0	0	0	0	0	0	0	1	1	0	0	3	false	false	false	undefined
SZ	57	B3	4050	false	false	0	0	1	0	0	true	0	0	4	0	0	2	true	false	false	undefined
AK	57	R3	1708	true	false	0	0	0	0	0	0	0	0	3	0	0	3	false	false	false	undefined
SL	57	B2	5667	false	false	0	0	0	0	0	0	4	0	0	0	0	3	false	false	false	I missed auto 
MDP	540	B1	7460	false	false	0	0	0	1	false	false	0	0	2	3	0	1	false	false	false	
NC	540	R2	6181	false	false	0	0	1	1	0	0	0	0	2	0	0	3	false	false	false	Note got stuck in robo, played ok defense 
SZ	540	B3	2399	false	false	0	0	1	0	true	true	2	0	4	0	0	3	true	false	false	undefined
NS	540	R1	4601	false	false	0	0	0	1	0	0	0	0	0	0	0	3	false	false	false	undefined
AK	540	R3	5492	true	false	0	0	0	0	0	0	0	0	3	0	0	2	false	false	false	undefined
SL	540	B2	3015	false	false	0	0	3	2	true	true	2	0	4	0	0	5	false	false	false	They hung + trapped with 45 sec left so low scores
                                                                                               
